Auction,VehicleAge,Make,Model,Color,WheelType,VehOdo,Size,MMRAcquisitionAuctionAveragePrice,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,MMRAcquisitonRetailCleanPrice,MMRCurrentAuctionAveragePrice,MMRCurrentAuctionCleanPrice,MMRCurrentRetailAveragePrice,MMRCurrentRetailCleanPrice,VNST,VehBCost,WarrantyCost,BYRNO
1,4,25,442,13,1,85377,3,5032,6386,5935,7397,4905,6181,8557,9752,7,6500,2152,18881
1,4,4,565,13,1,61873,6,4502,5685,5362,6640,4645,5710,7562,9296,7,6300,1118,18111
1,3,6,256,13,1,69283,7,10244,13041,11564,14584,10883,12166,15340,16512,7,9700,1215,18111
1,7,26,511,5,1,87889,6,2558,3542,3263,4325,2928,3607,5725,6398,7,4150,1933,18881
1,2,11,43,3,0,73432,1,5013,6343,5914,7350,5013,6343,5914,7350,7,4100,920,18111
1,3,6,880,6,1,91059,6,4350,5313,5198,6238,4161,5107,7118,8102,7,4200,1341,18881
1,3,7,341,4,1,71852,7,8576,10460,9762,11797,8765,10431,13679,14650,7,8500,1155,18881
1,6,5,719,3,1,74961,6,3900,4760,4712,5641,3792,4648,6912,7734,7,4100,1689,18881
1,4,4,557,13,1,43456,6,4359,5325,5208,6251,4250,5426,7412,8507,7,5900,764,18111
1,3,5,939,14,0,78212,12,8299,11182,9463,12577,9588,11839,13162,15506,7,6700,1623,18111
1,4,5,689,13,1,79068,2,5721,6966,6679,8023,5902,7150,9150,10605,7,7100,1389,18111
1,5,9,48,3,0,60382,6,6718,7635,7755,8746,6718,7635,7755,8746,7,9200,533,18111
1,1,14,707,5,0,76924,8,12136,13665,13607,15258,12136,13665,13607,15258,7,8200,1506,18881
1,5,4,904,14,1,96854,4,7400,9092,8492,10319,9229,10666,12781,13637,7,8500,1918,18881
1,4,4,621,12,1,78859,3,4758,6193,5639,7188,4501,5876,8265,9781,7,7500,1974,18111
1,3,4,458,13,1,69338,6,6090,7201,7077,8277,6227,7371,10036,11946,7,6700,728,18111
1,5,14,436,7,1,61505,7,4963,6188,8236,10079,6461,7734,10068,11369,7,6900,1508,18111
1,3,26,497,1,2,73796,6,4465,5470,8267,9247,5059,6218,8354,9545,7,5800,803,18111
1,2,4,557,3,2,76119,6,6506,7359,10324,11687,6198,7646,9907,11952,7,6600,1038,18111
1,3,2,733,3,1,87700,7,13125,14986,17933,19681,11530,14022,15926,18421,7,7800,2152,18111
1,4,4,956,2,1,79198,7,7341,8833,10882,12520,9427,11091,13550,15412,7,9200,1155,18881
1,4,4,312,2,1,84655,7,6686,8042,10843,12515,6555,7995,10372,12620,7,7000,1503,18881
1,6,4,950,13,1,70215,7,5080,6212,8834,9907,5171,6408,8616,9804,7,7300,1455,18881
1,3,5,719,3,2,81205,6,4764,5693,8526,9456,5010,6205,8126,9545,7,5200,1503,18880
1,4,6,663,2,1,71383,1,3123,4233,6546,8173,3656,4700,6622,7860,7,4200,686,18880
1,2,4,488,13,1,44271,3,7816,9218,12101,13872,8198,9616,11865,13881,7,7800,1328,52117
1,4,9,48,12,0,80703,6,8552,9923,12388,13987,8552,9923,12388,13987,7,9900,594,52117
1,3,4,478,12,2,60164,3,6424,7528,10123,11843,6129,7065,9888,11083,7,7000,1703,52117
1,4,22,70,3,1,82195,6,7387,9120,11472,14013,7207,8967,11086,13021,7,7500,723,18111
1,2,14,207,2,1,60760,4,15155,16911,18715,20450,15747,17089,19241,20881,7,10500,1606,18111
1,6,7,351,2,1,69046,5,5481,7043,8953,10354,3987,4940,7336,8153,7,6600,833,18111
1,3,11,850,13,1,65605,6,6272,7678,10559,11811,6671,7989,10788,12573,7,6600,728,18111
1,6,7,335,14,1,84700,4,7310,8523,11130,12139,8067,9694,10746,12726,7,9000,1413,18111
